代码,名称,序号,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
300300,海峡创新,1,14.52,20.0,2.42,0.0,32.64,3.15,18.27,30.00亿,6.67亿,96.82亿,
300344,*ST立方,2,2.78,19.83,0.46,0.0,19.63,0.93,15.52,3.38亿,6.41亿,17.83亿,
920748,路桥信息,3,47.19,12.38,5.2,-0.67,12.64,6.4,19.67,2.13亿,0.36亿,16.83亿,
301136,招标股份,4,19.87,12.2,2.16,-0.15,13.49,4.8,15.87,7.17亿,2.75亿,54.68亿,570.99
002467,二六三,5,7.34,10.04,0.67,0.0,15.75,1.46,12.89,15.19亿,13.67亿,100.33亿,99.85
002995,天地在线,6,36.62,10.0,3.33,0.0,34.19,0.94,9.07,13.59亿,1.12亿,41.17亿,
002355,兴民智通,7,7.48,10.0,0.68,0.0,14.95,2.84,7.94,6.74亿,6.18亿,46.24亿,
002291,遥望科技,8,9.04,9.98,0.82,0.0,12.47,0.56,6.57,9.65亿,8.69亿,78.57亿,
002264,新华都,9,12.58,9.96,1.14,0.0,23.19,1.29,13.37,18.21亿,6.55亿,82.37亿,38.17
688229,博睿数据,10,80.5,8.78,6.5,0.47,10.29,1.56,16.22,3.55亿,0.44亿,35.74亿,
002970,锐明技术,11,73.01,8.56,5.76,0.15,18.58,2.02,11.28,16.04亿,1.23亿,90.07亿,36.11
300612,宣亚国际,12,20.8,7.72,1.49,0.44,31.93,2.2,18.39,12.14亿,1.80亿,37.40亿,
300017,网宿科技,13,17.97,7.48,1.25,1.07,25.72,1.06,12.26,103.91亿,23.06亿,414.41亿,53.8
300957,贝泰妮,14,47.49,5.96,2.67,-0.13,6.0,3.22,9.93,12.18亿,4.24亿,201.21亿,55.51
603122,合富中国,15,19.54,5.91,1.09,0.31,16.7,3.69,8.02,12.86亿,3.98亿,77.78亿,
688090,瑞松科技,16,50.5,5.59,2.68,0.9,4.83,1.31,8.29,2.88亿,1.22亿,61.78亿,
300921,南凌科技,17,29.39,5.46,1.52,0.65,25.77,1.33,12.79,8.48亿,1.15亿,33.68亿,181.82
688036,传音控股,18,61.39,5.3,3.09,0.0,1.66,1.81,6.83,11.64亿,11.51亿,706.71亿,24.68
000070,特发信息,19,14.22,5.18,0.7,-0.14,29.88,3.98,13.02,37.55亿,8.89亿,126.37亿,1200.86
600754,锦江酒店,20,28.44,5.14,1.39,-0.04,2.57,2.01,6.58,6.59亿,9.06亿,257.68亿,30.49
689009,九号公司,22,52.73,5.06,2.54,-0.04,2.51,1.25,6.16,7.22亿,5.56亿,292.94亿,15.96
002713,*ST东易,23,9.61,5.03,0.46,0.0,4.25,0.96,6.78,2.10亿,5.27亿,50.60亿,
300353,东土科技,24,23.88,4.92,1.12,0.04,6.44,1.9,8.22,8.11亿,5.37亿,128.24亿,
600986,浙文互联,25,15.53,4.86,0.72,-0.19,32.64,1.01,7.83,75.21亿,14.87亿,230.99亿,136.82
002528,ST英飞拓,26,2.59,4.86,0.12,0.0,1.55,0.47,4.86,0.42亿,10.50亿,27.20亿,
603232,格尔软件,27,25.1,4.71,1.13,0.0,17.05,2.04,8.72,9.74亿,2.31亿,58.06亿,
300648,星云股份,28,59.85,4.67,2.67,0.0,7.42,1.95,5.98,5.88亿,1.33亿,79.41亿,
603686,福龙马,29,25.3,4.37,1.06,0.04,10.67,1.75,5.65,11.15亿,4.15亿,105.10亿,69.59
300469,信息发展,30,64.39,4.34,2.68,0.06,3.22,1.4,7.11,5.05亿,2.48亿,159.84亿,
